Series ID,Year,Period,Label,Value
LAUCS252185000000006,2019,M01,2019 Jan,2320
LAUCS252185000000006,2019,M02,2019 Feb,2325
LAUCS252185000000006,2019,M03,2019 Mar,2328
LAUCS252185000000006,2019,M04,2019 Apr,2306
LAUCS252185000000006,2019,M05,2019 May,2293
LAUCS252185000000006,2019,M06,2019 Jun,2320
LAUCS252185000000006,2019,M07,2019 Jul,2339
LAUCS252185000000006,2019,M08,2019 Aug,2341
LAUCS252185000000006,2019,M09,2019 Sep,2312
LAUCS252185000000006,2019,M10,2019 Oct,2329
LAUCS252185000000006,2019,M11,2019 Nov,2333
LAUCS252185000000006,2019,M12,2019 Dec,2322
LAUCS252185000000006,2020,M01,2020 Jan,2323
LAUCS252185000000006,2020,M02,2020 Feb,2315
LAUCS252185000000006,2020,M03,2020 Mar,2282
LAUCS252185000000006,2020,M04,2020 Apr,2040
LAUCS252185000000006,2020,M05,2020 May,2105
LAUCS252185000000006,2020,M06,2020 Jun,2178
LAUCS252185000000006,2020,M07,2020 Jul,2149
LAUCS252185000000006,2020,M08,2020 Aug,2183
LAUCS252185000000006,2020,M09,2020 Sep,2161
LAUCS252185000000006,2020,M10,2020 Oct,2207
LAUCS252185000000006,2020,M11,2020 Nov,2231
LAUCS252185000000006,2020,M12,2020 Dec,2238
LAUCS252185000000006,2021,M01,2021 Jan,2240
LAUCS252185000000006,2021,M02,2021 Feb,2246
LAUCS252185000000006,2021,M03,2021 Mar,2252
LAUCS252185000000006,2021,M04,2021 Apr,2233
LAUCS252185000000006,2021,M05,2021 May,2225
LAUCS252185000000006,2021,M06,2021 Jun,2249
LAUCS252185000000006,2021,M07,2021 Jul,2257
LAUCS252185000000006,2021,M08,2021 Aug,2265
LAUCS252185000000006,2021,M09,2021 Sep,2240
LAUCS252185000000006,2021,M10,2021 Oct,2260
