Series ID,Year,Period,Label,Value
LAUCN250090000000004,2019,M01,2019 Jan,17168
LAUCN250090000000004,2019,M02,2019 Feb,15587
LAUCN250090000000004,2019,M03,2019 Mar,14782
LAUCN250090000000004,2019,M04,2019 Apr,12180
LAUCN250090000000004,2019,M05,2019 May,12738
LAUCN250090000000004,2019,M06,2019 Jun,13921
LAUCN250090000000004,2019,M07,2019 Jul,14122
LAUCN250090000000004,2019,M08,2019 Aug,12790
LAUCN250090000000004,2019,M09,2019 Sep,12164
LAUCN250090000000004,2019,M10,2019 Oct,11060
LAUCN250090000000004,2019,M11,2019 Nov,10759
LAUCN250090000000004,2019,M12,2019 Dec,10957
LAUCN250090000000004,2020,M01,2020 Jan,14360
LAUCN250090000000004,2020,M02,2020 Feb,13287
LAUCN250090000000004,2020,M03,2020 Mar,13399
LAUCN250090000000004,2020,M04,2020 Apr,69713
LAUCN250090000000004,2020,M05,2020 May,70183
LAUCN250090000000004,2020,M06,2020 Jun,70133
LAUCN250090000000004,2020,M07,2020 Jul,46004
LAUCN250090000000004,2020,M08,2020 Aug,42351
LAUCN250090000000004,2020,M09,2020 Sep,41273
LAUCN250090000000004,2020,M10,2020 Oct,37255
LAUCN250090000000004,2020,M11,2020 Nov,35226
LAUCN250090000000004,2020,M12,2020 Dec,33832
LAUCN250090000000004,2021,M01,2021 Jan,34876
LAUCN250090000000004,2021,M02,2021 Feb,34166
LAUCN250090000000004,2021,M03,2021 Mar,31176
LAUCN250090000000004,2021,M04,2021 Apr,28242
LAUCN250090000000004,2021,M05,2021 May,23399
LAUCN250090000000004,2021,M06,2021 Jun,25534
LAUCN250090000000004,2021,M07,2021 Jul,26114
LAUCN250090000000004,2021,M08,2021 Aug,24987
LAUCN250090000000004,2021,M09,2021 Sep,23926
LAUCN250090000000004,2021,M10,2021 Oct,23419
