Series ID,Year,Period,Label,Value
LAUCN250090000000003,2019,M01,2019 Jan,4.0
LAUCN250090000000003,2019,M02,2019 Feb,3.7
LAUCN250090000000003,2019,M03,2019 Mar,3.5
LAUCN250090000000003,2019,M04,2019 Apr,2.9
LAUCN250090000000003,2019,M05,2019 May,3.0
LAUCN250090000000003,2019,M06,2019 Jun,3.2
LAUCN250090000000003,2019,M07,2019 Jul,3.3
LAUCN250090000000003,2019,M08,2019 Aug,3.0
LAUCN250090000000003,2019,M09,2019 Sep,2.9
LAUCN250090000000003,2019,M10,2019 Oct,2.6
LAUCN250090000000003,2019,M11,2019 Nov,2.5
LAUCN250090000000003,2019,M12,2019 Dec,2.6
LAUCN250090000000003,2020,M01,2020 Jan,3.4
LAUCN250090000000003,2020,M02,2020 Feb,3.1
LAUCN250090000000003,2020,M03,2020 Mar,3.2
LAUCN250090000000003,2020,M04,2020 Apr,18.1
LAUCN250090000000003,2020,M05,2020 May,17.2
LAUCN250090000000003,2020,M06,2020 Jun,16.6
LAUCN250090000000003,2020,M07,2020 Jul,11.3
LAUCN250090000000003,2020,M08,2020 Aug,10.2
LAUCN250090000000003,2020,M09,2020 Sep,10.0
LAUCN250090000000003,2020,M10,2020 Oct,8.9
LAUCN250090000000003,2020,M11,2020 Nov,8.4
LAUCN250090000000003,2020,M12,2020 Dec,8.1
LAUCN250090000000003,2021,M01,2021 Jan,8.3
LAUCN250090000000003,2021,M02,2021 Feb,8.1
LAUCN250090000000003,2021,M03,2021 Mar,7.4
LAUCN250090000000003,2021,M04,2021 Apr,6.7
LAUCN250090000000003,2021,M05,2021 May,5.6
LAUCN250090000000003,2021,M06,2021 Jun,6.1
LAUCN250090000000003,2021,M07,2021 Jul,6.2
LAUCN250090000000003,2021,M08,2021 Aug,5.9
LAUCN250090000000003,2021,M09,2021 Sep,5.8
LAUCN250090000000003,2021,M10,2021 Oct,5.6
