Series ID,Year,Period,Label,Value
LASST250000000000003,2019,M01,2019 Jan,3.2
LASST250000000000003,2019,M02,2019 Feb,3.2
LASST250000000000003,2019,M03,2019 Mar,3.1
LASST250000000000003,2019,M04,2019 Apr,3.1
LASST250000000000003,2019,M05,2019 May,3.0
LASST250000000000003,2019,M06,2019 Jun,3.0
LASST250000000000003,2019,M07,2019 Jul,3.0
LASST250000000000003,2019,M08,2019 Aug,3.0
LASST250000000000003,2019,M09,2019 Sep,3.0
LASST250000000000003,2019,M10,2019 Oct,2.9
LASST250000000000003,2019,M11,2019 Nov,2.9
LASST250000000000003,2019,M12,2019 Dec,2.9
LASST250000000000003,2020,M01,2020 Jan,2.8
LASST250000000000003,2020,M02,2020 Feb,2.8
LASST250000000000003,2020,M03,2020 Mar,2.7
LASST250000000000003,2020,M04,2020 Apr,16.4
LASST250000000000003,2020,M05,2020 May,15.3
LASST250000000000003,2020,M06,2020 Jun,14.8
LASST250000000000003,2020,M07,2020 Jul,9.8
LASST250000000000003,2020,M08,2020 Aug,9.3
LASST250000000000003,2020,M09,2020 Sep,8.9
LASST250000000000003,2020,M10,2020 Oct,8.5
LASST250000000000003,2020,M11,2020 Nov,8.4
LASST250000000000003,2020,M12,2020 Dec,8.4
LASST250000000000003,2021,M01,2021 Jan,7.8
LASST250000000000003,2021,M02,2021 Feb,7.0
LASST250000000000003,2021,M03,2021 Mar,6.7
LASST250000000000003,2021,M04,2021 Apr,6.4
LASST250000000000003,2021,M05,2021 May,5.0
LASST250000000000003,2021,M06,2021 Jun,4.9
LASST250000000000003,2021,M07,2021 Jul,4.9
LASST250000000000003,2021,M08,2021 Aug,5.0
LASST250000000000003,2021,M09,2021 Sep,5.2
LASST250000000000003,2021,M10,2021 Oct,5.3
